date,open,high,low,close,volume,ticker
2025-06-23,478.20999,487.75,472.51001,486,24864000,MSFT
2025-06-24,145.56,147.96001,145.5,147.89999,187566100,NVDA
2025-06-24,140.98,143.66,137.8,143.23,58574200,PLTR
2025-06-24,488.95001,491.85001,486.79999,490.10999,22305600,MSFT
2025-06-25,144.49001,147.67,141.53,142.89999,61435300,PLTR
2025-06-25,492.040009,494.56,489.39001,492.26999,17495100,MSFT
2025-06-25,149.27,154.45,149.25999,154.31,269146500,NVDA
2025-06-26,492.98001,498.040009,492.81,497.45001,21578900,MSFT
2025-06-26,155.98,156.72,154,155.020004,198145700,NVDA
2025-06-26,144.85001,148.215,142.91,144.25,69440500,PLTR
2025-06-27,497.54999,499.29999,493.029999,495.94,34539200,MSFT
2025-06-27,144.87,144.97,130.53999,130.74001,202598600,PLTR
2025-06-27,156.039993,158.71001,155.25999,157.75,263234500,NVDA
2025-06-30,497.040009,500.76001,495.32999,497.41,28369000,MSFT
